Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
64.24,1.50,654.902
63.26,1.50,654.902
62.26,1.50,619.608
61.26,1.50,619.608
60.27,1.50,568.627
59.27,1.50,568.627
58.29,1.50,529.412
57.32,1.50,529.412
56.36,1.50,509.804
55.42,1.50,509.804
54.49,1.50,494.118
53.58,1.50,494.118
52.71,1.50,462.745
52.09,1.50,462.745
51.42,1.50,423.529
50.01,1.50,423.529
48.90,1.50,392.157
47.85,1.50,392.157
46.82,1.50,376.471
45.81,1.50,376.471
44.81,1.50,372.549
43.84,1.50,372.549
42.88,1.50,360.784
41.97,1.50,360.784
41.09,1.50,337.255
40.24,1.50,337.255
39.52,1.50,325.49
39.28,1.50,325.49
37.86,1.50,313.725
36.63,1.50,313.725
35.54,1.50,298.039
34.53,1.50,298.039
33.56,1.50,282.353
32.65,1.50,282.353
31.79,1.50,278.431
30.97,1.50,278.431
30.16,1.50,286.275
29.39,1.50,286.275
28.65,1.50,290.196
27.96,1.50,290.196
27.33,1.50,298.039
26.78,1.50,298.039
26.37,1.50,301.961
26.13,1.50,301.961
26.16,1.50,317.647
25.96,1.50,317.647
25.16,1.50,349.02
24.74,1.50,349.02
24.54,1.50,380.392
24.56,1.50,380.392
24.64,1.50,396.078
24.78,1.50,396.078
24.95,1.50,396.078
25.16,1.50,396.078
25.41,1.50,392.157
25.69,1.50,392.157
26.03,1.50,396.078
26.49,1.50,396.078
27.15,1.50,392.157
28.40,1.50,392.157
28.17,1.50,411.765
28.28,1.50,411.765
28.66,1.50,450.98
29.22,1.50,450.98
29.86,1.50,498.039
30.54,1.50,498.039
31.27,1.50,533.333
32.03,1.50,533.333
32.84,1.50,549.02
33.68,1.50,549.02
34.53,1.50,564.706
35.40,1.50,564.706
36.27,1.50,576.471
37.16,1.50,576.471
38.08,1.50,572.549
39.03,1.50,572.549
40.01,1.50,545.098
41.02,1.50,545.098
42.05,1.50,505.882
43.14,1.50,505.882
44.29,1.50,470.588
45.82,1.50,470.588
46.07,1.50,450.98
64.12,1.50,654.902
63.10,2.50,654.902
62.08,2.50,619.608
61.07,2.50,619.608
60.06,2.50,568.627
59.05,2.50,568.627
58.05,2.50,529.412
57.05,2.50,529.412
56.05,2.50,509.804
55.07,2.50,509.804
54.10,2.50,494.118
53.16,2.50,494.118
52.23,2.50,462.745
51.31,2.50,462.745
50.44,2.50,423.529
49.78,2.50,423.529
49.90,2.50,392.157
47.77,2.50,392.157
46.67,2.50,376.471
45.61,2.50,376.471
44.57,2.50,372.549
43.56,2.50,372.549
42.56,2.50,360.784
41.57,2.50,360.784
40.61,2.50,337.255
39.70,2.50,337.255
38.83,2.50,325.49
38.02,2.50,325.49
37.51,2.50,313.725
36.87,2.50,313.725
35.42,2.50,298.039
34.27,2.50,298.039
33.22,2.50,282.353
32.22,2.50,282.353
31.27,2.50,278.431
30.38,2.50,278.431
29.55,2.50,286.275
28.73,2.50,286.275
27.95,2.50,290.196
27.22,2.50,290.196
26.54,2.50,298.039
25.92,2.50,298.039
25.43,2.50,301.961
25.13,2.50,301.961
25.08,2.50,317.647
25.40,2.50,317.647
24.34,2.50,349.02
23.80,2.50,349.02
23.54,2.50,380.392
23.56,2.50,380.392
23.65,2.50,396.078
23.79,2.50,396.078
23.97,2.50,396.078
24.19,2.50,396.078
24.44,2.50,392.157
24.73,2.50,392.157
25.11,2.50,396.078
25.69,2.50,396.078
26.59,2.50,392.157
27.28,2.50,392.157
27.05,2.50,411.765
27.32,2.50,411.765
27.81,2.50,450.98
28.43,2.50,450.98
29.11,2.50,498.039
29.83,2.50,498.039
30.60,2.50,533.333
31.41,2.50,533.333
32.26,2.50,549.02
33.12,2.50,549.02
34.00,2.50,564.706
34.89,2.50,564.706
35.79,2.50,576.471
36.75,2.50,576.471
37.74,2.50,572.549
38.75,2.50,572.549
39.78,2.50,545.098
40.86,2.50,545.098
41.99,2.50,505.882
43.75,2.50,505.882
43.84,2.50,470.588
44.55,2.50,470.588
45.43,1.50,450.98
64.14,1.50,658.824
64.03,2.50,658.824
62.22,3.50,619.608
61.08,3.50,619.608
60.05,3.50,568.627
59.02,3.50,568.627
58.00,3.50,533.333
56.99,3.50,533.333
55.98,3.50,509.804
54.98,3.50,509.804
53.99,3.50,490.196
52.99,3.50,490.196
51.90,3.50,458.824
50.94,3.50,458.824
50.00,3.50,423.529
49.07,3.50,423.529
48.17,3.50,396.078
47.32,3.50,396.078
46.79,3.50,388.235
46.00,3.50,388.235
44.62,3.50,384.314
43.54,3.50,384.314
42.49,3.50,372.549
41.46,3.50,372.549
40.46,3.50,352.941
39.46,3.50,352.941
38.37,3.50,341.176
37.47,3.50,341.176
36.60,3.50,333.333
35.81,3.50,333.333
35.33,3.50,321.569
35.64,3.50,321.569
33.26,3.50,309.804
32.13,3.50,309.804
31.07,3.50,309.804
30.07,3.50,309.804
29.01,3.50,321.569
28.16,3.50,321.569
27.33,3.50,329.412
26.54,3.50,329.412
25.80,3.50,333.333
25.13,3.50,333.333
24.54,3.50,341.176
24.14,3.50,341.176
24.01,3.50,360.784
25.11,3.50,360.784
23.88,3.50,392.157
22.92,3.50,392.157
22.55,3.50,423.529
22.56,3.50,423.529
22.65,3.50,443.137
22.80,3.50,443.137
22.99,3.50,439.216
23.21,3.50,439.216
23.48,3.50,435.294
23.78,3.50,435.294
24.27,3.50,431.373
25.26,3.50,431.373
26.34,3.50,423.529
25.96,3.50,423.529
26.02,3.50,431.373
26.42,3.50,431.373
27.02,3.50,462.745
27.69,3.50,462.745
28.42,3.50,501.961
29.20,3.50,501.961
30.02,3.50,529.412
30.88,3.50,529.412
31.76,3.50,549.02
32.65,3.50,549.02
33.55,3.50,560.784
34.62,3.50,560.784
35.62,3.50,564.706
36.64,3.50,564.706
37.69,3.50,560.784
38.78,3.50,560.784
40.04,3.50,533.333
41.07,3.50,533.333
41.49,3.50,494.118
42.30,3.50,494.118
43.18,3.50,458.824
44.10,2.50,458.824
45.03,1.50,443.137
63.59,1.50,658.824
62.63,2.50,658.824
61.69,3.50,619.608
60.77,4.50,619.608
59.92,4.50,568.627
59.36,4.50,568.627
58.99,4.50,533.333
57.40,4.50,533.333
56.32,4.50,509.804
55.34,4.50,509.804
50.64,4.50,458.824
49.68,4.50,423.529
48.72,4.50,423.529
47.78,4.50,396.078
46.84,4.50,396.078
45.92,4.50,388.235
45.04,4.50,388.235
44.23,4.50,384.314
43.70,4.50,384.314
43.23,4.50,372.549
41.86,4.50,372.549
37.04,4.50,341.176
36.13,4.50,333.333
35.23,4.50,333.333
34.38,4.50,321.569
33.63,4.50,321.569
33.15,4.50,309.804
32.88,4.50,309.804
27.64,4.50,321.569
26.77,4.50,329.412
25.93,4.50,329.412
25.12,4.50,333.333
24.39,4.50,333.333
23.72,4.50,341.176
23.18,4.50,341.176
22.97,4.50,360.784
21.57,4.50,423.529
21.56,4.50,423.529
21.66,4.50,443.137
